date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-09-25T09:40:00.000000,12165.0,12167.9,12155.05,12155.05,14,ULTRACEMCO,12176.76570769302,12203.502603852348,34.78876490760288,12232.5,50.40585513580286,SELL
2025-09-25T09:45:00.000000,12155.05,12189.95,12155.05,12189.95,22,ULTRACEMCO,12179.402566154416,12202.27054895668,35.16453670686961,12232.5,49.96654516753511,
2025-09-25T09:50:00.000000,12189.95,12190.0,12180.0,12190.0,13,ULTRACEMCO,12181.522052923534,12201.155044506073,35.64714133314734,12232.5,49.55424077184991,
2025-09-25T09:55:00.000000,12190.0,12197.05,12183.15,12197.05,10,ULTRACEMCO,12184.627642338826,12200.781858641885,36.3344035551699,12232.5,48.54773427574829,
2025-09-25T10:00:00.000000,12197.05,12197.05,12176.4,12186.05,11,ULTRACEMCO,12184.912113871062,12199.44259876535,36.390187639877965,12232.5,47.884015273124874,
2025-09-25T10:05:00.000000,12186.05,12186.05,12173.6,12173.6,10,ULTRACEMCO,12182.649691096849,12197.093271604865,36.658487618713295,12232.5,47.378694469127424,SELL
2025-09-25T10:10:00.000000,12173.6,12186.0,12173.6,12186.0,5,ULTRACEMCO,12183.31975287748,12196.08479236806,37.125817539296634,12232.5,46.90946800827265,
2025-09-25T10:15:00.000000,12186.0,12200.0,12180.1,12200.0,154,ULTRACEMCO,12186.655802301984,12196.4407203346,37.525026755866406,12232.5,45.17454691754609,
2025-09-25T10:20:00.000000,12200.0,12212.05,12200.0,12212.05,67,ULTRACEMCO,12191.734641841587,12197.859745758728,38.52138556837067,12232.5,42.62698021842822,
2025-09-25T10:25:00.000000,12212.05,12212.05,12192.65,12203.05,3,ULTRACEMCO,12193.997713473269,12198.331587053388,39.19441635200223,12232.5,40.68559848381436,
2025-09-25T10:30:00.000000,12203.05,12203.05,12203.0,12203.0,3,ULTRACEMCO,12195.798170778615,12198.755988230352,39.77107340053579,12232.5,38.882886873101484,
2025-09-25T10:35:00.000000,12203.0,12205.7,12192.0,12201.55,209,ULTRACEMCO,12196.948536622891,12199.00998930032,40.458702368677066,12232.5,37.82656979076903,
